                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.31349,                0.37127,                 1.0172,                0.91142,                0.91633,                0.96396,                0.93509,                0.28636,                 0.4194,                0.73528,             0.00028975,             0.00028975,             0.00028975
                    114,                0.32037,                0.37632,                 1.0169,                0.92548,                0.92036,                0.96705,                0.93332,                0.29116,                0.42494,                0.72842,             0.00028242,             0.00028242,             0.00028242
                    115,                0.31321,                0.36839,                 1.0113,                0.92914,                0.91279,                0.96031,                0.92931,                0.29541,                0.44118,                0.73876,             0.00027508,             0.00027508,             0.00027508
                    116,                0.30479,                0.35261,                 1.0056,                0.90679,                0.91206,                0.96213,                0.93223,                0.27535,                0.42822,                0.71394,             0.00026775,             0.00026775,             0.00026775
                    117,                0.31717,                0.36479,                 1.0166,                0.94573,                0.89508,                0.96242,                0.93546,                0.28617,                0.42776,                0.73314,             0.00026042,             0.00026042,             0.00026042
                    118,                0.31244,                0.34655,                 1.0177,                0.93544,                0.91477,                0.96412,                0.93667,                0.28668,                0.42549,                0.72854,             0.00025309,             0.00025309,             0.00025309
                    119,                0.31151,                0.35327,                 1.0084,                0.92658,                0.92169,                 0.9706,                0.94131,                0.28877,                  0.398,                0.73296,             0.00024575,             0.00024575,             0.00024575
                    120,                0.31605,                0.34268,                 1.0111,                0.93342,                0.92524,                0.97118,                 0.9395,                0.27994,                0.39783,                0.71718,             0.00023842,             0.00023842,             0.00023842
                    121,                0.30833,                0.35557,                 1.0185,                0.90582,                0.92936,                0.96995,                0.94277,                0.27607,                0.40905,                0.71661,             0.00023109,             0.00023109,             0.00023109
                    122,                0.30377,                0.34239,                 1.0091,                0.91394,                0.93036,                0.96252,                 0.9358,                0.26906,                0.42066,                0.71692,             0.00022376,             0.00022376,             0.00022376
                    123,                0.30908,                0.34488,                  1.008,                0.93939,                0.92516,                0.96246,                0.93061,                0.28363,                0.42256,                0.73138,             0.00021642,             0.00021642,             0.00021642
                    124,                0.30797,                 0.3477,                 1.0113,                0.92021,                0.92915,                0.96709,                0.93669,                 0.2707,                0.41246,                0.71621,             0.00020909,             0.00020909,             0.00020909
                    125,                0.31775,                0.34905,                 1.0183,                0.93339,                 0.9323,                0.96935,                0.93544,                0.28739,                0.39561,                0.73369,             0.00020176,             0.00020176,             0.00020176
                    126,                0.30277,                0.34667,                 1.0089,                0.93591,                0.92057,                0.97392,                0.94369,                 0.2732,                0.39409,                0.71809,             0.00019442,             0.00019442,             0.00019442
                    127,                0.30229,                0.34034,                 1.0052,                0.91976,                0.92818,                0.96826,                0.93939,                 0.2678,                0.40399,                0.70471,             0.00018709,             0.00018709,             0.00018709
                    128,                0.30096,                0.34203,                 1.0041,                0.93977,                0.90916,                0.97301,                0.94901,                0.26708,                0.38847,                0.70522,             0.00017976,             0.00017976,             0.00017976
                    129,                0.30819,                0.33238,                 1.0091,                0.90621,                0.93427,                0.97436,                0.94521,                0.27394,                0.40579,                0.71615,             0.00017243,             0.00017243,             0.00017243
                    130,                0.30214,                0.33313,                 1.0057,                0.95023,                0.89617,                0.96611,                0.93977,                0.27338,                0.40124,                0.71452,             0.00016509,             0.00016509,             0.00016509
                    131,                0.31189,                0.33381,                 1.0144,                0.94166,                0.89883,                0.96974,                0.94351,                0.27688,                0.41129,                0.71734,             0.00015776,             0.00015776,             0.00015776
                    132,                0.30438,                0.32403,                 1.0066,                0.94304,                0.89713,                0.96802,                0.93901,                0.28115,                 0.4019,                0.72298,             0.00015043,             0.00015043,             0.00015043
                    133,                0.30137,                0.33602,                 1.0106,                0.91851,                0.90452,                0.96565,                0.93771,                 0.2776,                0.41681,                0.72058,              0.0001431,              0.0001431,              0.0001431
                    134,                0.29621,                0.31832,                 1.0137,                0.91847,                0.94133,                0.97024,                0.94327,                0.27047,                0.38825,                0.71008,             0.00013576,             0.00013576,             0.00013576
                    135,                0.29763,                0.33261,                 1.0082,                0.95056,                0.91472,                0.97259,                0.94405,                0.26643,                0.38129,                0.70999,             0.00012843,             0.00012843,             0.00012843
                    136,                0.30023,                0.31384,                 1.0053,                0.94436,                0.91516,                 0.9725,                0.94304,                0.26961,                0.37698,                0.71505,              0.0001211,              0.0001211,              0.0001211
                    137,                0.29648,                0.32672,                 1.0083,                0.94383,                0.90743,                0.96978,                0.94248,                0.26653,                 0.3882,                0.71271,             0.00011377,             0.00011377,             0.00011377
                    138,                0.29279,                 0.3194,                 0.9995,                0.92422,                 0.9291,                0.96785,                0.94089,                0.27659,                0.40465,                0.72372,             0.00010643,             0.00010643,             0.00010643
